tag,status,pipeline,arch,kind,crop_source,margin,aug,lr,overlay,ablation,seed,variant,frozen_val_auc,val_auc,epoch,epochs,train_auc
vgg16_fusion_control_s2_cuda,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = control,0.8434,0.8818,58,83,0.9696
vgg16_fusion_view,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8768,0.899,13,23,0.9264
vgg16_fusion_view_cuda,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8752,0.8964,8,33,0.9242
vgg16_fusion_view_cuda0917,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8735,0.9117,5,30,0.8844
vgg16_fusion_view_cuda0917_s1,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8798,0.9151,4,29,0.8471
vgg16_fusion_view_cuda0917_s2,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8784,0.9089,9,34,0.892
vgg16_fusion_view_s1_cuda,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.877,0.9079,9,34,0.919
vgg16_fusion_view_s2_cuda,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8687,0.9041,7,32,0.9128
vgg16_fusion_view_unet_bundle,current,fusion,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8553,0.8928,27,37,0.9469
vgg16_fusion_view_unet_cuda,current,fusion,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8737,0.8994,11,36,0.8774
vgg16_fusion_view_unet_promoted,current,fusion,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8986,0.9169,34,59,0.9762
vgg16_fusion_view_unet_promoted_cuda0917,current,fusion,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.9061,0.9247,39,64,0.9849
vgg16_fusion_view_unet_promoted_cuda0917_s1,current,fusion,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8866,0.9177,23,48,0.9413
